helfen.,er
er,sucht
sucht,den
den,weg
weg,nach
nach,der
der,stadt
stadt,und
und,er
er,hat
hat,recht
recht,vergiß
vergiß,das
das,nicht.
nicht.,er
er,tut
tut,das
das,was
was,du
du,selbst
selbst,zu
zu,tun
tun,versäumt
versäumt,hast.
hast.,er
er,sorgt
sorgt,für
für,sich
sich,er
er,geht
geht,seine
seine,bahn.
bahn.,ach
ach,siddhartha
siddhartha,ich
ich,sehe
sehe,dich
dich,leiden
leiden,aber
aber,du
du,leidest
leidest,schmerzen
schmerzen,über
über,die
die,man
man,lachen
lachen,möchte
möchte,über
über,die
die,du
du,selbst
selbst,bald
bald,lachen
lachen,wirst.
wirst.,siddhartha
siddhartha,antwortete
antwortete,nicht.
nicht.,er
er,hielt
hielt,schon
schon,das
das,beil
beil,in
in,händen
händen,und
und,begann
begann,ein
ein,floß
floß,aus
aus,bambus
bambus,zu
zu,machen
machen,und
und,vasudeva
vasudeva,half
half,ihm
ihm,die
die,stämme
stämme,mit
mit,grasseilen
grasseilen,zuzammen
zuzammen,zu
zu,binden.
binden.,dann
dann,fuhren
fuhren,sie
sie,hinüber
hinüber,wurden
wurden,weit
weit,abgetrieben
abgetrieben,zogen
zogen,das
das,floß
floß,am
am,jenseitigen
jenseitigen,ufer
ufer,flußauf.
flußauf.,"""warum"
"""warum",hast
hast,du
du,das
das,beil
beil,mitgenommen?
mitgenommen?,fragte
fragte,siddhartha.
siddhartha.,vasudeva
vasudeva,sagte:
sagte:,"""es"
"""es",könnte
könnte,sein
sein,daß
daß,das
das,ruder
ruder,unsres
unsres,bootes
bootes,verloren
verloren,gegangen
gegangen,wäre.
wäre.,siddhartha
siddhartha,aber
aber,wußte
wußte,was
was,sein
sein,freund
freund,dachte.
dachte.,er
er,dachte
dachte,der
der,knabe
knabe,werde
werde,das
das,ruder
ruder,weggeworfen
weggeworfen,oder
oder,zerbrochen
zerbrochen,haben
haben,um
um,sich
sich,zu
zu,rächen
rächen,und
und,um
um,sie
sie,an
an,der
der,verfolgung
verfolgung,zu
zu,hindern.
hindern.,und
und,wirklich
wirklich,war
war,kein
kein,ruder
ruder,mehr
mehr,im
im,boote.
boote.,vasudeva
vasudeva,wies
wies,auf
auf,den
den,boden
boden,des
des,bootes
bootes,und
und,sah
sah,den
den,freund
freund,mit
mit,lächeln
lächeln,an
an,als
als,wollte
wollte,er
er,sagen;
sagen;,"""siehst"
"""siehst",du
du,nicht
nicht,was
was,dein
dein,sohn
sohn,dir
dir,sagen
sagen,will?
will?,siehst
siehst,du
du,nicht
nicht,daß
daß,er
er,nicht
nicht,verfolgt
verfolgt,sein
sein,will?
will?,doch
doch,sagte
sagte,er
er,dies
dies,nicht
nicht,mit
mit,worten.
worten.,er
er,machte
machte,sich
sich,daran
daran,ein
ein,neues
neues,ruder
ruder,zu
zu,zimmern.
zimmern.,siddhartha
siddhartha,aber
aber,nahm
nahm,abschied
abschied,um
um,nach
nach,dem
dem,entflohenen
entflohenen,zu
zu,suchen.
suchen.,vasudeva
vasudeva,hinderte
hinderte,ihn
ihn,nicht.
nicht.,als
als,siddhartha
siddhartha,schon
schon,lange
lange,im
im,walde
walde,unterwegs
unterwegs,war
war,kam
kam,ihm
ihm,der
der,gedanke
gedanke,daß
daß,sein
sein,suchen
suchen,nutzlos
nutzlos,sei.
sei.,entweder
entweder,so
so,dachte
dachte,er
er,war
war,der
der,knabe
knabe,längst
längst,voraus
voraus,und
und,schon
schon,in
in,der
der,stadt
stadt,angelangt
angelangt,oder
oder,wenn
wenn,er
er,noch
noch,unterwegs
unterwegs,sein
sein,sollte
sollte,würde
würde,er
er,vor
vor,ihm
ihm,dem
dem,verfolgenden
verfolgenden,sich
sich,verborgen
verborgen,halten.
halten.,da
da,er
er,weiter
weiter,dachte
dachte,fand
fand,er
er,auch
auch,daß
daß,er
er,selbst
selbst,nicht
nicht,in
in,sorge
sorge,um
um,seinen
seinen,sohn
sohn,war
war,daß
daß,er
er,im
im,innersten
innersten,wußte
wußte,er
er,sei
sei,weder
weder,umgekommen
umgekommen,noch
noch,drohe
drohe,ihm
ihm,im
im,walde
walde,gefahr.
gefahr.,dennoch
dennoch,lief
lief,er
er,ohne
ohne,rast
rast,nicht
nicht,mehr
mehr,um
um,ihn
ihn,zu
zu,retten
retten,nur
nur,aus
aus,verlangen
verlangen,nur
nur,um
um,ihn
ihn,vielleicht
vielleicht,nochmals
nochmals,zu
zu,sehen.
sehen.,und
und,er
er,lief
lief,bis
bis,vor
vor,die
die,stadt.
stadt.,als
als,er
er,nahe
nahe,bei
bei,der
der,stadt
stadt,auf
auf,die
die,breite
breite,straße
straße,gelangte
gelangte,blieb
blieb,er
er,stehen
stehen,am
am,eingang
eingang,des
des,schönen
schönen,lustgartens
lustgartens,der
der,einst
einst,kamala
kamala,gehört
gehört,hatte
hatte,wo
wo,er
er,sie
sie,einst
einst,in
in,der
der,sänfte
sänfte,zum
zum,erstenmal
erstenmal,gesehen
gesehen,hatte.
hatte.,das
das,damalige
damalige,stand
stand,in
in,seiner
seiner,seele
seele,auf
auf,wieder
wieder,sah
sah,er
er,sich
sich,dort
dort,stehen
stehen,jung
jung,ein
ein,bärtiger
bärtiger,nackter
nackter,samana
samana,das
das,haar
haar,voll
voll,staub.
staub.,lange
lange,stand
stand,siddhartha
siddhartha,und
und,blickte
blickte,durch
durch,das
das,offne
offne,tor
tor,in
in,den
den,garten
garten,mönche
mönche,in
in,gelben
gelben,kutten
kutten,sah
sah,er
er,unter
unter,den
den,schönen
schönen,bäumen
bäumen,gehen.
gehen.,lange
lange,stand
stand,er
er,nachdenkend
nachdenkend,bilder
bilder,sehend
sehend,der
der,geschichte
geschichte,seines
seines,lebens
lebens,lauschend.
lauschend.,lange
lange,stand
stand,er
er,blickte
blickte,nach
nach,den
den,mönchen
mönchen,sah
sah,statt
statt,ihrer
ihrer,den
den,jungen
jungen,siddhartha
siddhartha,sah
sah,die
die,junge
junge,kamala
kamala,unter
unter,den
den,hohen
hohen,bäumen
bäumen,gehen.
gehen.,deutlich
deutlich,sah
sah,er
er,sich
sich,wie
wie,er
er,von
von,kamala
kamala,bewirtet
bewirtet,ward
ward,wie
wie,er
er,ihren
ihren,ersten
ersten,kuß
kuß,empfing
empfing,wie
wie,er
er,stolz
stolz,und
und,verächtlich
verächtlich,auf
auf,sein
sein,brahmanentum
brahmanentum,zurückblickte
zurückblickte,stolz
stolz,und
und,verlangend
verlangend,sein
sein,weltleben
weltleben,begann.
begann.,er
er,sah
sah,kamaswami
kamaswami,sah
sah,die
die,diener
diener,die
die,gelage
gelage,die
die,würfelspieler
würfelspieler,die
die,musikanten
musikanten,sah
sah,kamalas
kamalas,singvogel
singvogel,im
im,käfig
käfig,lebte
lebte,dies
dies,alles
alles,nochmals
nochmals,atmete
atmete,sansara
sansara,war
war,nochmals
nochmals,alt
alt,und
und,müde
müde,fühlte
fühlte,nochmals
nochmals,den
den,ekel
ekel,fühlte
fühlte,nochmals
nochmals,den
den,wunsch
wunsch,sich
sich,auszulöschen
auszulöschen,genas
genas,nochmals
nochmals,am
am,heiligen
heiligen,om.
om.,nachdem
nachdem,er
er,lange
lange,beim
beim,tor
tor,des
des,gartens
gartens,gestanden
gestanden,war
war,sah
sah,siddhartha
siddhartha,ein
ein,daß
daß,das
das,verlangen
verlangen,töricht
töricht,war
war,das
das,ihn
ihn,bis
bis,zu
zu,dieser
dieser,stätte
stätte,getrieben
getrieben,hatte
hatte,daß
daß,er
er,seinem
seinem,sohne
sohne,nicht
nicht,helfen
helfen,konnte
konnte,daß
daß,er
er,sich
sich,nicht
nicht,an
an,ihn
ihn,hängen
hängen,durfte.
durfte.,tief
tief,fühlte
fühlte,er
er,die
die,liebe
liebe,zu
zu,dem
dem,entflohenen
entflohenen,im
im,herzen
herzen,wie
wie,eine
eine,wunde
wunde,und
und,fühlte
fühlte,zugleich
zugleich,daß
daß,ihm
ihm,die
die,wunde
wunde,nicht
nicht,gegeben
gegeben,war
war,um
um,in
in,ihr
ihr,zu
zu,wühlen
wühlen,daß
daß,sie
sie,zur
zur,blüte
blüte,werden
werden,und
und,strahlen
strahlen,müsse.
müsse.,daß
daß,die
die,wunde
wunde,zu
zu,dieser
dieser,stunde
stunde,noch
noch,nicht
nicht,blühte
blühte,noch
noch,nicht
nicht,strahlte
strahlte,machte
machte,ihn
ihn,traurig.
traurig.,an
an,der
der,stelle
stelle,des
des,wunschzieles
wunschzieles,das
das,ihn
ihn,hierher
hierher,und
und,dem
dem,entflohenen
entflohenen,sohne
sohne,nachgezogen
nachgezogen,hatte
hatte,stand
stand,nun
nun,leere.
leere.,traurig
traurig,setzte
setzte,er
er,sich
sich,nieder
nieder,fühlte
fühlte,etwas
etwas,in
in,seinem
seinem,herzen
herzen,sterben
sterben,empfand
empfand,leere
leere,sah
sah,keine
keine,freude
freude,mehr
mehr,kein
kein,ziel.
ziel.,er
er,saß
saß,versunken
versunken,und
und,wartete.
wartete.,dies
dies,hatte
hatte,er
er,am
am,flusse
flusse,gelernt
gelernt,dies
dies,eine:
eine:,warten
warten,geduld
geduld,haben
haben,lauschen.
lauschen.,und
und,er
er,saß
saß,und
und,lauschte
lauschte,im
im,staub
staub,der
der,straße
straße,lauschte
lauschte,seinem
seinem,herzen
herzen,wie
wie,es
es,müd
müd,und
und,traurig
traurig,ging
ging,wartete
wartete,auf
auf,eine
eine,stimme.
stimme.,manche
manche,stunde
stunde,kauerte
kauerte,er
er,lauschend
lauschend,sah
sah,keine
keine,bilder
bilder,mehr
mehr,sank
sank,in
in,die
die,leere
leere,ließ
ließ,sich
sich,sinken
sinken,ohne
ohne,einen
einen,weg
weg,zu
zu,sehen.
sehen.,und
und,wenn
wenn,er
er,die
die,wunde
wunde,brennen
brennen,fühlte
fühlte,sprach
sprach,er
er,lautlos
lautlos,das
das,om
om,füllte
füllte,sich
sich,mit
mit,om.
om.,die
die,mönche
mönche,im
im,garten
garten,sahen
sahen,ihn
ihn,und
und,da
da,er
er,viele
viele,stunden
stunden,kauerte
kauerte,und
und,auf
auf,seinen
seinen,grauen
grauen,haaren
haaren,der
der,staub
staub,sich
sich,sammelte
sammelte,kam
kam,einer
einer,gegangen
gegangen,und
und,legte
legte,zwei
zwei,pisangfrüchte
pisangfrüchte,vor
vor,ihm
ihm,nieder.
nieder.,der
der,alte
alte,sah
sah,ihn
ihn,nicht.
nicht.,aus
aus,dieser
dieser,erstarrung
erstarrung,weckte
weckte,ihn
ihn,eine
eine,hand
hand,welche
welche,seine
seine,schulter
schulter,berührte.
berührte.,alsbald
alsbald,erkannte
erkannte,er
er,diese
diese,berührung
berührung,die
die,zarte
zarte,schamhafte
schamhafte,und
und,kam
kam,zu
zu,sich.
sich.,er
er,erhob
erhob,sich
sich,und
und,begrüßte
begrüßte,vasudeva
vasudeva,welcher
welcher,ihm
ihm,nachgegangen
nachgegangen,war.
war.,und
und,da
da,er
er,in
in,vasudevas
vasudevas,freundliches
freundliches,gesicht
gesicht,schaute
schaute,in
in,die
die,kleinen
kleinen,wie
wie,mit
mit,lauter
lauter,lächeln
lächeln,ausgefüllten
ausgefüllten,falten
falten,in
in,die
die,heiteren
heiteren,augen
augen,da
da,lächelte
lächelte,auch
auch,er.
er.,er
er,sah
sah,nun
nun,die
die,pisangfrüchte
pisangfrüchte,vor
vor,sich
sich,liegen
liegen,hob
hob,sie
sie,auf
auf,gab
gab,eine
eine,dem
dem,fährmann
fährmann,aß
aß,selbst
selbst,die
die,andere.
andere.,darauf
darauf,ging
ging,er
er,schweigend
schweigend,mit
mit,vasudeva
vasudeva,in
in,den
den,wald
wald,zurück
zurück,kehrte
kehrte,zur
zur,fähre
fähre,heim.
heim.,keiner
keiner,sprach
sprach,von
von,dem
dem,was
was,heute
heute,geschehen
geschehen,war
war,keiner
keiner,nannte
nannte,den
den,namen
namen,des
des,knaben
knaben,keiner
keiner,sprach
sprach,von
von,seiner
seiner,flucht
flucht,keiner
keiner,sprach
sprach,von
von,der
der,wunde.
wunde.,in
in,der
der,hütte
hütte,legte
legte,sich
sich,siddhartha
siddhartha,auf
auf,sein
sein,lager
lager,und
und,da
da,nach
nach,einer
einer,weile
weile,vasudeva
vasudeva,zu
zu,ihm
ihm,trat
trat,um
um,ihm
ihm,eine
eine,schale
schale,kokosmilch
kokosmilch,anzubieten
anzubieten,fand
fand,er
er,ihn
ihn,schon
schon,schlafend.
schlafend.,om
om,lange
lange,noch
noch,brannte
brannte,die
die,wunde.
wunde.,manchen
manchen,reisenden
reisenden,mußte
mußte,siddhartha
siddhartha,über
über,den
den,fluß
fluß,setzen
setzen,der
der,einen
einen,sohn
sohn,oder
oder,eine
eine,tochter
tochter,bei
bei,sich
sich,hatte
hatte,und
und,keinen
keinen,von
von,ihnen
ihnen,sah
sah,er
er,ohne
ohne,daß
daß,er
er,ihn
ihn,beneidete
beneidete,ohne
ohne,daß
daß,er
er,dachte:
dachte:,"""so"
"""so",viele
viele,so
so,viel
viel,tausende
tausende,besitzen
besitzen,dies
dies,holdeste
holdeste,glück--warum
glück--warum,ich
ich,nicht?
nicht?,auch
auch,böse
böse,menschen
menschen,auch
auch,diebe
diebe,und
und,räuber
räuber,haben
haben,kinder
kinder,und
und,lieben
lieben,sie
sie,und
und,werden
werden,von
von,ihnen
ihnen,geliebt
geliebt,nur
nur,ich
ich,nicht.
nicht.,so
so,einfach
einfach,so
so,ohne
ohne,verstand
verstand,dachte
dachte,er
er,nun
nun,so
so,ähnlich
ähnlich,war
war,er
er,den
den,kindermenschen
kindermenschen,geworden.
geworden.,anders
anders,sah
sah,er
er,jetzt
jetzt,die
die,menschen
menschen,an
an,als
als,früher
früher,weniger
weniger,klug
klug,weniger
weniger,stolz
stolz,dafür
dafür,wärmer
wärmer,dafür
dafür,neugieriger
neugieriger,beteiligter.
beteiligter.,wenn
wenn,er
er,reisende
reisende,der
der,gewöhnlichen
gewöhnlichen,art
art,übersetzte
übersetzte,kindermenschen
kindermenschen,geschäftsleute
geschäftsleute,krieger
krieger,weibervolk
weibervolk,so
so,erschienen
erschienen,diese
diese,leute
leute,ihm
ihm,nicht
nicht,fremd
fremd,wie
wie,einst:
einst:,er
er,verstand
verstand,sie
sie,er
er,verstand
verstand,und
und,teilte
teilte,ihr
ihr,nicht
nicht,von
von,gedanken
gedanken,und
und,einsichten
einsichten,sondern
sondern,einzig
einzig,von
von,trieben
trieben,und
und,wünschen
wünschen,geleitetes
geleitetes,leben
leben,er
er,fühlte
fühlte,sich
sich,wie
wie,sie.
sie.,obwohl
obwohl,er
er,nahe
nahe,der
der,vollendung
vollendung,war
war,und
und,an
an,seiner
seiner,letzten
letzten,wunde
wunde,trug
trug,schien
schien,ihm
ihm,doch
doch,diese
diese,kindermenschen
kindermenschen,seien
seien,seine
seine,brüder
brüder,ihre
ihre,eitelkeiten
eitelkeiten,begehrlichkeiten
begehrlichkeiten,und
und,lächerlichkeiten
lächerlichkeiten,verloren
verloren,das
das,lächerliche
lächerliche,für
für,ihn
ihn,wurden
wurden,begreiflich
begreiflich,wurden
wurden,liebenswert
liebenswert,wurden
wurden,ihm
ihm,sogar
sogar,verehrungswürdig.
verehrungswürdig.,die
die,blinde
blinde,liebe
liebe,einer
einer,mutter
mutter,zu
zu,ihrem
ihrem,kind
kind,den
den,dummen
dummen,blinden
blinden,stolz
stolz,eines
eines,eingebildeten
eingebildeten,vaters
vaters,auf
auf,sein
sein,einziges
einziges,söhnlein
söhnlein,das
das,blinde
blinde,wilde
wilde,streben
streben,nach
nach,schmuck
schmuck,und
und,nach
nach,bewundernden
bewundernden,männeraugen
männeraugen,bei
bei,einem
einem,jungen
jungen,eitlen
eitlen,weibe
weibe,alle
alle,diese
diese,triebe
triebe,alle
alle,diese
diese,kindereien
kindereien,alle
alle,diese
diese,einfachen
einfachen,törichten
törichten,aber
aber,ungeheuer
ungeheuer,starken
starken,stark
stark,lebenden
lebenden,stark
stark,sich
sich,durchsetzenden
durchsetzenden,triebe
triebe,und
und,begehrlichkeiten
begehrlichkeiten,waren
waren,für
für,siddhartha
siddhartha,jetzt
jetzt,keine
keine,kindereien
kindereien,mehr
mehr,er
er,sah
sah,um
um,ihretwillen
ihretwillen,die
die,menschen
menschen,leben
leben,sah
sah,sie
sie,um
um,ihretwillen
ihretwillen,unendliches
unendliches,leisten
leisten,reisen
reisen,tun
tun,kriege
kriege,führen
führen,unendliches
unendliches,leiden
leiden,unendliches
unendliches,ertragen
ertragen,und
und,er
er,konnte
konnte,sie
sie,dafür
dafür,lieben
lieben,er
er,sah
sah,das
das,leben
leben,das
das,lebendige
lebendige,das
das,unzerstörbare
unzerstörbare,das
das,brahman
brahman,in
in,jeder
jeder,ihrer
ihrer,leidenschaften
leidenschaften,jeder
jeder,ihrer
ihrer,taten.
taten.,liebenswert
liebenswert,und
und,bewundernswert
bewundernswert,waren
waren,diese
diese,menschen
menschen,in
in,ihrer
ihrer,blinden
blinden,treue
treue,ihrer
ihrer,blinden
blinden,stärke
stärke,und
und,zähigkeit.
zähigkeit.,nichts
nichts,fehlte
fehlte,ihnen
ihnen,nichts
nichts,hatte
hatte,der
der,wissende
wissende,und
und,denker
denker,vor
vor,ihnen
ihnen,voraus
voraus,als
als,eine
eine,einzige
einzige,kleinigkeit
kleinigkeit,eine
eine,einzige
einzige,winzig
winzig,kleine
kleine,sache:
sache:,das
das,bewußtsein
bewußtsein,den
den,bewußten
bewußten,gedanken
gedanken,der
der,einheit
einheit,alles
alles,lebens.
lebens.,und
und,siddhartha
siddhartha,zweifelte
zweifelte,sogar
sogar,zu
zu,mancher
mancher,stunde
stunde,ob
ob,dies
dies,wissen
wissen,dieser
dieser,gedanke
gedanke,so
so,sehr
sehr,hoch
hoch,zu
zu,werten
werten,ob
ob,nicht
nicht,auch
auch,er
er,vielleicht
vielleicht,eine
eine,kinderei
kinderei,der
der,denkmenschen
denkmenschen,der
der,denk-kindermenschen
denk-kindermenschen,sein
sein,möchte.
möchte.,in
in,allem
allem,andern
andern,waren
waren,die
die,weltmenschen
weltmenschen,dem
dem,weisen
weisen,ebenbürtig
ebenbürtig,waren
waren,ihm
ihm,oft
oft,weit
weit,überlegen
überlegen,wie
wie,ja
ja,auch
auch,tiere
tiere,in
in,ihrem
ihrem,zähen
zähen,unbeirrten
unbeirrten,tun
tun,des
des,notwendigen
notwendigen,in
in,manchen
manchen,augenblicken
augenblicken,den
den,menschen
menschen,überlegen
überlegen,scheinen
scheinen,können.
können.,langsam
langsam,blühte
blühte,langsam
langsam,reifte
reifte,in
in,siddhartha
siddhartha,die
die,erkenntnis
erkenntnis,das
das,wissen
wissen,darum
darum,was
was,eigentlich
eigentlich,weisheit
weisheit,sei
sei,was
was,seines
seines,langen
langen,suchens
suchens,ziel
ziel,sei.
sei.,es
es,war
war,nichts
nichts,als
als,eine
eine,bereitschaft
bereitschaft,der
der,seele
seele,eine
eine,fähigkeit
fähigkeit,eine
eine,geheime
geheime,kunst
kunst,jeden
jeden,augenblick
augenblick,mitten
mitten,im
im,leben
leben,den
den,gedanken
gedanken,der
der,einheit
einheit,denken
denken,die
die,einheit
einheit,fühlen
fühlen,und
und,einatmen
einatmen,zu
zu,können.
können.,langsam
langsam,blühte
blühte,dies
dies,in
in,ihm
ihm,auf
auf,strahlte
strahlte,ihm
ihm,aus
aus,vasudevas
vasudevas,altem
altem,kindergesicht
kindergesicht,wider:
wider:,harmonie
harmonie,wissen
wissen,um
um,die
die,ewige
ewige,vollkommenheit
vollkommenheit,der
der,welt
welt,lächeln
lächeln,einheit.
einheit.,die
die,wunde
wunde,aber
aber,brannte
brannte,noch
noch,sehnlich
sehnlich,und
und,bitter
bitter,gedachte
gedachte,siddhartha
siddhartha,seines
seines,sohnes
sohnes,pflegte
pflegte,seine
seine,liebe
liebe,und
und,zärtlichkeit
zärtlichkeit,im
im,herzen
herzen,ließ
ließ,den
den,schmerz
schmerz,an
an,sich
sich,fressen
fressen,beging
beging,alle
alle,torheiten
torheiten,der
der,liebe.
liebe.,nicht
nicht,von
von,selbst
selbst,erlosch
erlosch,diese
diese,flamme.
flamme.,und
und,eines
eines,tages
tages,als
als,die
die,wunde
wunde,heftig
heftig,brannte
brannte,fuhr
fuhr,siddhartha
siddhartha,über
über,den
den,fluß
fluß,gejagt
gejagt,von
von,sehnsucht
sehnsucht,stieg
stieg,aus
aus,und
und,war
war,willens
willens,nach
nach,der
der,stadt
stadt,zu
zu,gehen
gehen,und
und,seinen
seinen,sohn
sohn,zu
zu,suchen.
suchen.,der
der,fluß
fluß,floß
floß,sanft
sanft,und
und,leise
leise,es
es,war
war,in
in,der
der,trockenen
trockenen,jahreszeit
jahreszeit,aber
aber,seine
seine,stimme
stimme,klang
klang,sonderbar:
sonderbar:,sie
sie,lachte!
lachte!,sie
sie,lachte
lachte,deutlich.
deutlich.,der
der,fluß
fluß,lachte
lachte,er
er,lachte
lachte,hell
hell,und
und,klar
klar,den
den,alten
alten,fährmann
fährmann,aus.
aus.,siddhartha
siddhartha,blieb
blieb,stehen
stehen,er
er,beugte
beugte,sich
sich,übers
übers,wasser
wasser,um
um,noch
noch,besser
besser,zu
zu,hören
hören,und
und,im
im,still
still,ziehenden
ziehenden,wasser
wasser,sah
sah,er
er,sein
sein,gesicht
gesicht,gespiegelt
gespiegelt,und
und,in
in,diesem
diesem,gespiegelten
gespiegelten,gesicht
gesicht,war
war,etwas
etwas,das
das,ihn
ihn,erinnerte
erinnerte,etwas
etwas,vergessenes
vergessenes,und
und,da
da,er
er,sich
sich,besann
besann,fand
fand,er
er,es:
es:,dies
dies,gesicht
gesicht,glich
glich,einem
einem,andern
andern,das
das,er
er,einst
einst,gekannt
gekannt,und
und,geliebt
geliebt,und
und,auch
auch,gefürchtet
gefürchtet,hatte.
hatte.,es
es,glich
glich,dem
dem,gesicht
gesicht,seines
seines,vaters
vaters,des
des,brahmanen.
brahmanen.,und
und,er
er,erinnerte
erinnerte,sich
sich,wie
wie,er
er,vor
vor,zeiten
zeiten,ein
ein,jüngling
jüngling,seinen
seinen,vater
vater,gezwungen
gezwungen,hatte
hatte,ihn
ihn,zu
zu,den
den,büßern
büßern,gehen
gehen,zu
zu,lassen
lassen,wie
wie,er
er,abschied
abschied,von
von,ihm
ihm,genommen
genommen,hatte
hatte,wie
wie,er
er,gegangen
gegangen,und
und,nie
nie,mehr
mehr,wiedergekommen
wiedergekommen,war.
war.,hatte
hatte,nicht
nicht,auch
auch,sein
sein,vater
vater,um
um,ihn
ihn,dasselbe
dasselbe,leid
leid,gelitten
gelitten,wie
wie,er
er,es
es,nun
nun,um
um,seinen
seinen,sohn
sohn,litt?
litt?,war
war,nicht
nicht,sein
sein,vater
vater,längst
längst,gestorben
gestorben,allein
allein,ohne
ohne,seinen
seinen,sohn
sohn,wiedergesehen
wiedergesehen,zu
zu,haben?
haben?,mußte
mußte,er
er,selbst
selbst,nicht
nicht,dies
dies,selbe
selbe,schicksal
schicksal,erwarten?
erwarten?,war
war,es
es,nicht
nicht,eine
eine,komödie
komödie,eine
eine,seltsame
seltsame,und
und,dumme
dumme,sache
sache,diese
diese,wiederholung
wiederholung,dieses
dieses,laufen
laufen,in
in,einem
einem,verhängnisvollen
verhängnisvollen,kreise?
kreise?,der
der,fluß
fluß,lachte.
lachte.,ja
ja,es
es,war
war,so
so,es
es,kam
kam,alles
alles,wieder
wieder,was
was,nicht
nicht,bis
bis,zu
zu,ende
ende,gelitten
gelitten,und
und,gelöst
gelöst,ward
ward,es
es,wurden
wurden,immer
immer,wieder
wieder,dieselben
dieselben,leiden
leiden,gelitten.
gelitten.,siddhartha
siddhartha,aber
aber,stieg
stieg,wieder
wieder,in
in,das
das,boot
boot,und
und,fuhr
fuhr,zu
zu,der
der,hütte
hütte,zurück
zurück,seines
seines,vaters
vaters,gedenkend
gedenkend,seines
seines,sohnes
sohnes,gedenkend
gedenkend,vom
vom,flusse
flusse,verlacht
verlacht,mit
mit,sich
sich,selbst
selbst,im
im,streit
streit,geneigt
geneigt,zur
zur,verzweiflung
verzweiflung,und
und,nicht
nicht,minder
minder,geneigt
geneigt,über
über,sich
sich,und
und,die
die,ganze
ganze,welt
welt,laut
laut,mitzulachen.
mitzulachen.,ach
ach,noch
noch,blühte
blühte,die
die,wunde
wunde,nicht
nicht,noch
noch,wehrte
wehrte,sein
sein,herz
herz,sich
sich,wider
wider,das
das,schicksal
schicksal,noch
noch,strahlte
strahlte,nicht
nicht,heiterkeit
heiterkeit,und
und,sieg
sieg,aus
aus,seinem
seinem,leide.
leide.,doch
doch,fühlte
fühlte,er
er,hoffnung
hoffnung,und
und,da
da,er
er,zur
zur,hütte
hütte,zurückgekehrt
zurückgekehrt,war
war,spürte
spürte,er
er,ein
ein,unbesiegbares
unbesiegbares,verlangen
verlangen,sich
sich,vor
vor,vasudeva
vasudeva,zu
zu,öffnen
öffnen,ihm
ihm,alles
alles,zu
zu,zeigen
zeigen,ihm
ihm,dem
dem,meister
meister,des
des,zuhörens
zuhörens,alles
alles,zu
zu,sagen.
sagen.,vasudeva
vasudeva,saß
saß,in
in,der
der,hütte
hütte,und
und,flocht
flocht,an
an,einem
einem,korbe.
korbe.,er
er,fuhr
fuhr,nicht
nicht,mehr
mehr,mit
mit,dem
dem,fährboot
fährboot,seine
seine,augen
augen,begannen
begannen,schwach
schwach,zu
zu,werden
werden,und
und,nicht
nicht,nur
nur,seine
seine,augen;
augen;,auch
auch,seine
seine,arme
arme,und
und,hände.
hände.,unverändert
unverändert,und
und,blühend
blühend,war
war,nur
nur,die
die,freude
freude,und
und,das
das,heitere
heitere,wohlwollen
wohlwollen,seines
seines,gesichtes.
gesichtes.,siddhartha
siddhartha,setzte
setzte,sich
sich,zu
zu,dem
dem,greise
greise,langsam
langsam,begann
begann,er
er,zu
zu,sprechen.
sprechen.,worüber
worüber,sie
sie,niemals
niemals,gesprochen
gesprochen,hatten
hatten,davon
davon,erzählte
erzählte,er
er,jetzt
jetzt,von
von,seinem
seinem,gange
gange,zur
zur,stadt
stadt,damals
damals,von
von,der
der,brennenden
brennenden,wunde
wunde,von
von,seinem
seinem,neid
neid,beim
beim,anblick
anblick,glücklicher
glücklicher,väter
väter,von
von,seinem
seinem,wissen
wissen,um
um,die
die,torheit
torheit,solcher
solcher,wünsche
wünsche,von
von,seinem
seinem,vergeblichen
vergeblichen,kampf
kampf,wider
wider,sie.
sie.,alles
alles,berichtete
berichtete,er
er,alles
alles,konnte
konnte,er
er,sagen
sagen,auch
auch,das
das,peinlichste
peinlichste,alles
alles,ließ
ließ,sich
sich,sagen
sagen,alles
alles,sich
sich,zeigen
zeigen,alles
alles,konnte
konnte,er
er,erzählen.
erzählen.,er
er,zeigte
zeigte,seine
seine,wunde
wunde,dar
dar,erzählte
erzählte,auch
auch,seine
seine,heutige
heutige,flucht
flucht,wie
wie,er
er,übers
übers,wasser
wasser,gefahren
gefahren,sei
sei,kindischer
kindischer,flüchtling
flüchtling,willens
willens,nach
nach,der
der,stadt
stadt,zu
zu,wandern
wandern,wie
wie,der
der,fluß
fluß,gelacht
gelacht,habe.
habe.,während
während,er
er,sprach
sprach,lange
lange,sprach
sprach,während
während,vasudeva
vasudeva,mit
mit,stillem
stillem,gesicht
gesicht,lauschte
lauschte,empfand
empfand,siddhartha
siddhartha,dies
dies,zuhören
zuhören,vasudevas
vasudevas,stärker
stärker,als
als,er
er,es
es,jemals
jemals,gefühlt
gefühlt,hatte
hatte,er
er,spürte
spürte,wie
wie,seine
seine,schmerzen
schmerzen,seine
seine,beängstigungen
beängstigungen,hinüberflossen
hinüberflossen,wie
wie,seine
seine,heimliche
heimliche,hoffnung
hoffnung,hinüberfloß
hinüberfloß,ihm
ihm,von
von,drüben
drüben,wieder
wieder,entgegenkam.
